country,international_students_sum,faculty_count_sum
Argentina,39817,44627
Armenia,403,1095
Australia,223532,52985
Austria,26557,9507
Azerbaijan,726,3557
Bahrain,344,179
Bangladesh,551,1933
Belarus,4683,4878
Belgium,32114,15205
Bolivia,555,3238
Bosnia and Herzegovina,1003,1306
Brazil,9341,32149
Brunei,635,614
Bulgaria,2,3
Canada,127360,50754
Chile,8121,17007
China,72344,68112
Colombia,3080,12326
Costa Rica,552,1907
Croatia,1160,3184
Cuba,1166,823
Cyprus,874,318
Czech Republic,13966,11957
Denmark,12054,11957
Ecuador,618,7158
Egypt,40493,65180
Estonia,2225,2618
Finland,7593,7448
France,104979,48750
Georgia,662,3
Germany,105077,59434
Ghana,606,1497
Greece,3155,2228
Honduras,,3888
Hong Kong,34198,11401
Hungary,935,1884
India,10214,31719
Indonesia,9065,29590
"Iran, Islamic Republic of",1754,3110
Iraq,1668,12065
Ireland,17929,8313
Israel,4875,4271
Italy,39892,32757
Japan,49612,53106
Jordan,8401,4540
Kazakhstan,6721,6510
Kenya,,2492
Kuwait,6228,2265
Latvia,875,2039
Lebanon,4741,4878
Lithuania,1652,2229
Macau SAR,13,1136
Malaysia,27634,18936
Malta,816,900
Mexico,16278,44251
Morocco,2441,1806
Netherlands,67062,31711
New Zealand,25738,9342
Norway,3396,4239
Oman,248,916
Pakistan,2833,9505
"Palestinian Territory, Occupied",3211,2347
Panama,2524,2680
Paraguay,531,4304
Peru,2146,5098
Philippines,2743,2783
Poland,15013,16152
Portugal,3803,2814
Puerto Rico,448,2688
Qatar,3197,1163
Romania,9243,11038
Russia,54854,46126
Saudi Arabia,21418,17332
Serbia,5935,9785
Singapore,13644,8690
Slovakia,769,2805
Slovenia,862,5
South Africa,5792,5393
South Korea,34796,37004
Spain,38429,25738
Sri Lanka,236,2294
Sudan,866,2309
Sweden,33865,16991
Switzerland,35295,15689
Syrian Arab Republic,2184,2597
Taiwan,27217,22865
Thailand,4976,8721
Tunisia,1073,4681
Turkey,22001,23484
Uganda,2694,1468
Ukraine,2436,7146
United Arab Emirates,2821,3952
United Kingdom,340287,160921
United States of America,356421,257757
Uruguay,208,1523
Venezuela,716,1504
Vietnam,1592,10102
Grand Total,2245813,1631685
