university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
Massachusetts Institute of Technology (MIT) ,2022,1,100,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States of America,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Private,Very High,4,3730,M,3065
University of Oxford,2022,2,99.5,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3,8442,L,6708
Stanford University,2022,3,98.7,https://www.topuniversities.com/universities/stanford-university,United States of America,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Private,Very High,3,3879,L,4725
University of Cambridge,2022,3,98.7,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,Public,Very high,4,7925,L,5800
Harvard University,2022,5,98,https://www.topuniversities.com/universities/harvard-university,United States of America,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Private,Very High,5,5877,L,4646
California Institute of Technology (Caltech),2022,6,97.4,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States of America,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,Private,Very High,2,692,S,968
Imperial College London,2022,7,97.3,https://www.topuniversities.com/universities/imperial-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,Public,Very High,5,11143,L,8000
ETH Zurich - Swiss Federal Institute of Technology,2022,8,95.4,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,ZÃ¼rich,Europe,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,Public,Very High,7,7733,L,2719
UCL,2022,8,95.4,https://www.topuniversities.com/universities/ucl,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,Public,Very High,5,21824,XL,7195
University of Chicago,2022,10,94.5,https://www.topuniversities.com/universities/university-chicago,United States of America,Chicago,North America,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,Private,Very High,6,4696,L,2703
National University of Singapore (NUS),2022,11,93.9,https://www.topuniversities.com/universities/national-university-singapore-nus,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,Public,Very High,7,7551,XL,4288
"Nanyang Technological University, Singapore (NTU)",2022,12,90.8,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg,Public,Very High,6,6091,L,3812
